Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
114,Iceland,208688,229.0,72676.0,307.0,1996384.0,345393.0
115,Afghanistan,208545,7882.0,186088.0,14575.0,1188898.0,40754388.0
116,Kyrgyzstan,206592,2991.0,196406.0,7195.0,1907195.0,6728271.0
117,El Salvador,201785,4230.0,179410.0,18145.0,2610114.0,6550389.0
118,Guadeloupe,201394,1007.0,72676.0,307.0,938039.0,399794.0
119,Trinidad and Tobago,187908,4326.0,183264.0,318.0,888936.0,1406585.0
120,Maldives,185715,311.0,163687.0,21717.0,2213831.0,540985.0
121,Ghana,171112,1462.0,169636.0,14.0,2527319.0,32395450.0
122,Namibia,170741,4088.0,166452.0,201.0,1062663.0,2633874.0
123,Uganda,170400,3630.0,100431.0,66339.0,3012408.0,48432863.0
124,Jamaica,153407,3480.0,102212.0,47715.0,1183986.0,2985094.0
125,Cambodia,138693,3056.0,135624.0,13.0,3091420.0,17168639.0
126,Rwanda,133090,1468.0,131559.0,63.0,5959042.0,13600464.0
127,Cameroon,123993,1965.0,118616.0,3412.0,1751774.0,27911548.0
128,Malta,117062,824.0,115623.0,615.0,2109235.0,444033.0
129,Barbados,106157,571.0,105570.0,16.0,790354.0,288023.0
130,Angola,105184,1931.0,103216.0,37.0,1499795.0,35027343.0
131,Channel Islands,101116,223.0,100778.0,115.0,1252808.0,176463.0
132,French Guiana,98028,420.0,11254.0,86354.0,651257.0,314169.0
133,DRC,95514,1463.0,84264.0,9787.0,846704.0,95240792.0
134,Senegal,88902,1971.0,86929.0,2.0,1146543.0,17653671.0
135,Malawi,88559,2686.0,85369.0,504.0,624784.0,20180839.0
136,Ivory Coast,87982,833.0,87138.0,11.0,1671684.0,27742298.0
137,Suriname,82020,1398.0,72676.0,307.0,239603.0,596831.0
138,New Caledonia,79845,314.0,79526.0,5.0,98964.0,290915.0
139,French Polynesia,77957,649.0,8753.5,36.0,113504.0,284164.0
140,Eswatini,74133,1422.0,72676.0,35.0,1048704.0,1184817.0
141,Guyana,72950,1294.0,71357.0,299.0,717867.0,794045.0
142,Belize,70660,688.0,69949.0,23.0,576016.0,412190.0
143,Fiji,68820,883.0,66780.0,1157.0,667715.0,909466.0
144,Madagascar,67827,1419.0,66370.0,38.0,524209.0,29178077.0
145,Sudan,63742,5001.0,58284.0,457.0,562941.0,45992020.0
146,Mauritania,63665,997.0,62437.0,231.0,1009957.0,4901981.0
147,Cabo Verde,63229,413.0,62756.0,60.0,401622.0,567678.0
148,Bhutan,62605,21.0,61564.0,1020.0,2303734.0,787941.0
149,Syria,57453,3164.0,54289.0,0.0,146269.0,19364809.0
150,Burundi,53492,38.0,53394.0,60.0,345742.0,12624840.0
151,Seychelles,50665,172.0,50440.0,53.0,113504.0,99426.0
152,Gabon,48981,306.0,48674.0,1.0,1621909.0,2331533.0
153,Andorra,47839,165.0,47563.0,111.0,249838.0,77463.0
154,Papua New Guinea,46750,670.0,43982.0,2098.0,249149.0,9292169.0
155,Curaçao,45986,295.0,44720.0,971.0,496693.0,165529.0
156,Aruba,43993,236.0,42438.0,1319.0,177885.0,107609.0
157,Tanzania,42664,846.0,4351350.5,14997.5,32603805.0,63298550.0
158,Mayotte,42002,188.0,72676.0,307.0,176919.0,286259.0
159,Mauritius,41652,1043.0,39943.0,666.0,358675.0,1274727.0
160,Togo,39354,290.0,39061.0,3.0,806803.0,8680837.0
161,Guinea,38240,467.0,37757.0,16.0,660107.0,13865691.0
162,Isle of Man,38008,116.0,8753.5,36.0,150753.0,85732.0
163,Bahamas,37491,833.0,36366.0,292.0,257839.0,400516.0
164,Lesotho,34790,723.0,25980.0,8087.0,431221.0,2175699.0
165,Faeroe Islands,34658,28.0,8753.5,36.0,778000.0,49233.0
166,Haiti,34076,860.0,33033.0,183.0,132422.0,11680283.0
167,Mali,32783,743.0,31957.0,83.0,789342.0,21473764.0
168,Cayman Islands,31472,37.0,8553.0,22882.0,222773.0,67277.0
169,Saint Lucia,29803,409.0,29095.0,299.0,210983.0,185113.0
170,Benin,27989,163.0,27823.0,3.0,604310.0,12784726.0
171,Somalia,27318,1361.0,13182.0,12775.0,400466.0,16841795.0
172,Congo,25375,386.0,24006.0,983.0,347815.0,5797805.0
173,Solomon Islands,24575,153.0,72676.0,307.0,858932.0,721159.0
174,San Marino,23427,122.0,23276.0,29.0,157634.0,34085.0
175,Timor-Leste,23415,138.0,23102.0,175.0,278529.0,1369429.0
176,Micronesia,22676,58.0,8753.5,36.0,54967.0,117489.0
177,Burkina Faso,22025,396.0,21596.0,33.0,248995.0,22102838.0
178,Liechtenstein,21340,89.0,21237.0,14.0,112457.0,38387.0
179,Gibraltar,20399,111.0,16579.0,3709.0,534283.0,33704.0
180,Grenada,19680,238.0,19358.0,84.0,182981.0,113475.0
181,Bermuda,18766,157.0,18593.0,16.0,1024947.0,61939.0
182,Nicaragua,18491,225.0,4225.0,14041.0,5135880.5,6779100.0
183,South Sudan,18368,138.0,18115.0,115.0,410280.0,11618511.0
184,Tajikistan,17786,125.0,17264.0,397.0,5135880.5,9957464.0
185,Equatorial Guinea,17190,183.0,16883.0,124.0,365697.0,1496662.0
186,Tonga,16734,13.0,15638.0,1083.0,535009.0,107749.0
187,Samoa,16087,29.0,1605.0,14453.0,187397.0,202239.0
188,Monaco,16056,65.0,15982.0,9.0,78646.0,39783.0
189,Dominica,15760,74.0,15673.0,13.0,229344.0,72344.0
190,Djibouti,15690,189.0,15427.0,74.0,305941.0,1016097.0
191,Marshall Islands,15584,17.0,15528.0,39.0,113504.0,60057.0
192,CAR,15368,113.0,15200.0,55.0,81294.0,5016678.0
193,Gambia,12586,372.0,12189.0,25.0,155686.0,2558482.0
194,Saint Martin,12233,63.0,1399.0,10771.0,112382.0,39730.0
195,Vanuatu,12014,14.0,11976.0,24.0,24976.0,321832.0
196,Greenland,11971,21.0,2761.0,9189.0,164926.0,56973.0
197,Yemen,11945,2159.0,9124.0,662.0,329592.0,31154867.0
198,Caribbean Netherlands,11661,38.0,10476.0,1147.0,30126.0,26647.0
199,Sint Maarten,11010,89.0,10905.0,16.0,62056.0,43966.0
200,Eritrea,10189,103.0,10086.0,0.0,23693.0,3662244.0
201,Niger,9931,312.0,8890.0,729.0,254538.0,26083660.0
202,St. Vincent Grenadines,9585,123.0,9454.0,8.0,113504.0,111551.0
203,Antigua and Barbuda,9106,146.0,8954.0,6.0,18901.0,99509.0
204,Comoros,8992,161.0,8827.0,4.0,858932.0,907419.0
205,Guinea-Bissau,8947,176.0,8656.0,115.0,145231.0,2063367.0
206,Liberia,8062,294.0,7766.0,2.0,139824.0,5305117.0
207,Sierra Leone,7760,126.0,985592.0,2411.0,259958.0,8306436.0
208,Chad,7652,194.0,4874.0,2584.0,191341.0,17413580.0
209,British Virgin Islands,7305,64.0,8753.5,36.0,107339.0,30596.0
210,Cook Islands,7011,2.0,6993.0,16.0,19690.0,17571.0
211,Saint Kitts and Nevis,6592,46.0,6537.0,9.0,126903.0,53871.0
212,Turks and Caicos,6522,38.0,6451.0,33.0,611527.0,39741.0
213,Sao Tome and Principe,6280,77.0,6202.0,1.0,29036.0,227679.0
214,Palau,5986,9.0,5976.0,1.0,68820.0,18233.0
215,St. Barth,5420,6.0,8753.5,36.0,78646.0,9945.0
216,Kiribati,5008,18.0,2703.0,2287.0,113504.0,123419.0
217,Nauru,4621,1.0,4609.0,11.0,20509.0,10903.0
218,Anguilla,3904,12.0,3879.0,13.0,51382.0,15230.0
219,Macao,3488,120.0,3357.0,11.0,7850.0,667490.0
220,Saint Pierre Miquelon,3452,2.0,2449.0,1001.0,25400.0,5759.0
221,Wallis and Futuna,3427,7.0,438.0,2982.0,20508.0,10982.0
222,Tuvalu,2805,63.5,8753.5,2805.0,113504.0,12066.0
223,Saint Helena,2166,63.5,2.0,2164.0,113504.0,6115.0
224,Falkland Islands,1930,63.5,1930.0,0.0,8632.0,3539.0
225,Montserrat,1403,8.0,1376.0,19.0,17762.0,4965.0
226,Niue,747,63.5,746.0,1.0,113504.0,1622.0
227,Diamond Princess,712,1968.0,184676.0,992.0,1968708.0,5676382.5
228,Vatican City,29,63.5,29.0,0.0,113504.0,799.0
229,Western Sahara,10,1.0,9.0,0.0,858932.0,626161.0
230,MS Zaandam,9,1968.0,184676.0,992.0,1968708.0,5676382.5
231,Tokelau,5,63.5,8753.5,5.0,113504.0,1378.0
