Date,"Daily foreign exchange rates, 31 December 1979 ? 31 December 1998"
06-06-1980,1.772
09-06-1980,1.762
10-06-1980,1.762
11-06-1980,1.766
12-06-1980,1.763
13-06-1980,1.755
16-06-1980,1.768
17-06-1980,1.763
18-06-1980,1.764
19-06-1980,1.767
20-06-1980,1.768
23-06-1980,1.767
24-06-1980,1.77
25-06-1980,1.769
26-06-1980,1.765
27-06-1980,1.764
30-06-1980,1.764
01-07-1980,1.762
02-07-1980,1.759
03-07-1980,1.756
07-07-1980,1.739
08-07-1980,1.74
09-07-1980,1.741
10-07-1980,1.738
11-07-1980,1.739
14-07-1980,1.744
15-07-1980,1.748
16-07-1980,1.744
17-07-1980,1.736
18-07-1980,1.747
21-07-1980,1.742
22-07-1980,1.739
23-07-1980,1.74
24-07-1980,1.735
25-07-1980,1.739
28-07-1980,1.734
29-07-1980,1.759
30-07-1980,1.777
31-07-1980,1.781
01-08-1980,1.793
04-08-1980,1.785
05-08-1980,1.776
06-08-1980,1.769
07-08-1980,1.782
08-08-1980,1.783
11-08-1980,1.783
12-08-1980,1.78
13-08-1980,1.782
14-08-1980,1.786
15-08-1980,1.787
18-08-1980,1.798
19-08-1980,1.8
20-08-1980,1.797
21-08-1980,1.796
22-08-1980,1.807
25-08-1980,1.805
26-08-1980,1.802
27-08-1980,1.8
28-08-1980,1.787
29-08-1980,1.792
02-09-1980,1.778
03-09-1980,1.776
04-09-1980,1.777
05-09-1980,1.782
08-09-1980,1.777
09-09-1980,1.78
10-09-1980,1.779
11-09-1980,1.778
12-09-1980,1.78
15-09-1980,1.783
16-09-1980,1.784
17-09-1980,1.781
18-09-1980,1.792
19-09-1980,1.794
22-09-1980,1.807
23-09-1980,1.812
24-09-1980,1.795
25-09-1980,1.798
26-09-1980,1.802
29-09-1980,1.814
30-09-1980,1.813
01-10-1980,1.809
02-10-1980,1.812
03-10-1980,1.811
06-10-1980,1.799
07-10-1980,1.805
08-10-1980,1.804
09-10-1980,1.805
10-10-1980,1.804
14-10-1980,1.817
15-10-1980,1.826
16-10-1980,1.828
17-10-1980,1.844
20-10-1980,1.865
21-10-1980,1.862
22-10-1980,1.864
23-10-1980,1.863
24-10-1980,1.867
27-10-1980,1.879
28-10-1980,1.894
29-10-1980,1.885
30-10-1980,1.898
31-10-1980,1.906
03-11-1980,1.916
05-11-1980,1.943
06-11-1980,1.946
07-11-1980,1.958
10-11-1980,1.902
12-11-1980,1.901
13-11-1980,1.893
14-11-1980,1.905
17-11-1980,1.931
18-11-1980,1.919
19-11-1980,1.903
20-11-1980,1.915
21-11-1980,1.917
24-11-1980,1.917
25-11-1980,1.911
26-11-1980,1.921
28-11-1980,1.927
01-12-1980,1.941
02-12-1980,1.948
03-12-1980,1.94
04-12-1980,1.944
05-12-1980,1.961
08-12-1980,1.963
09-12-1980,1.983
10-12-1980,2.007
11-12-1980,2.019
12-12-1980,2.007
15-12-1980,1.99
16-12-1980,2.019
17-12-1980,1.979
18-12-1980,1.993
19-12-1980,1.974
22-12-1980,1.957
23-12-1980,1.953
24-12-1980,1.943
26-12-1980,1.943
29-12-1980,1.955
30-12-1980,1.952
31-12-1980,1.974
02-01-1981,1.975
05-01-1981,1.939
06-01-1981,1.935
07-01-1981,1.948
08-01-1981,1.963
09-01-1981,1.979
12-01-1981,1.985
13-01-1981,2.001
14-01-1981,1.993
15-01-1981,2.001
16-01-1981,2.007
19-01-1981,2.009
20-01-1981,2
21-01-1981,1.994
22-01-1981,2.025
23-01-1981,2.035
26-01-1981,2.052
27-01-1981,2.071
28-01-1981,2.085
29-01-1981,2.094
30-01-1981,2.132
02-02-1981,2.121
03-02-1981,2.135
04-02-1981,2.114
05-02-1981,2.146
06-02-1981,2.141
09-02-1981,2.138
10-02-1981,2.148
11-02-1981,2.15
13-02-1981,2.22
17-02-1981,2.196
18-02-1981,2.188
19-02-1981,2.132
20-02-1981,2.096
23-02-1981,2.112
24-02-1981,2.116
25-02-1981,2.107
26-02-1981,2.116
27-02-1981,2.131
02-03-1981,2.152
03-03-1981,2.153
04-03-1981,2.138
05-03-1981,2.139
06-03-1981,2.136
09-03-1981,2.109
10-03-1981,2.108
11-03-1981,2.116
12-03-1981,2.113
13-03-1981,2.11
16-03-1981,2.092
17-03-1981,2.088
18-03-1981,2.056
19-03-1981,2.05
20-03-1981,2.068
23-03-1981,2.087
24-03-1981,2.082
25-03-1981,2.086
26-03-1981,2.113
27-03-1981,2.125
30-03-1981,2.098
31-03-1981,2.111
01-04-1981,2.098
02-04-1981,2.112
03-04-1981,2.127
06-04-1981,2.157
07-04-1981,2.119
08-04-1981,2.133
09-04-1981,2.144
10-04-1981,2.153
13-04-1981,2.172
14-04-1981,2.166
15-04-1981,2.179
16-04-1981,2.188
17-04-1981,2.19
20-04-1981,2.185
21-04-1981,2.182
22-04-1981,2.163
23-04-1981,2.175
24-04-1981,2.178
27-04-1981,2.182
28-04-1981,2.187
29-04-1981,2.213
30-04-1981,2.211
01-05-1981,2.203
04-05-1981,2.245
05-05-1981,2.266
06-05-1981,2.258
07-05-1981,2.275
08-05-1981,2.255
11-05-1981,2.284
12-05-1981,2.296
13-05-1981,2.296
14-05-1981,2.311
15-05-1981,2.309
18-05-1981,2.305
19-05-1981,2.309
20-05-1981,2.298
21-05-1981,2.323
22-05-1981,2.316
26-05-1981,2.334
27-05-1981,2.346
28-05-1981,2.325
29-05-1981,2.33
01-06-1981,2.335
02-06-1981,2.371
03-06-1981,2.361
04-06-1981,2.414
05-06-1981,2.411
08-06-1981,2.405
09-06-1981,2.403
10-06-1981,2.372
11-06-1981,2.405
12-06-1981,2.395
15-06-1981,2.346
16-06-1981,2.348
17-06-1981,2.349
18-06-1981,2.372
19-06-1981,2.378
22-06-1981,2.363
23-06-1981,2.356
24-06-1981,2.37
25-06-1981,2.393
26-06-1981,2.388
29-06-1981,2.393
30-06-1981,2.394
01-07-1981,2.413
02-07-1981,2.412
03-07-1981,2.416
06-07-1981,2.449
07-07-1981,2.444
08-07-1981,2.476
09-07-1981,2.466
10-07-1981,2.439
13-07-1981,2.423
14-07-1981,2.448
15-07-1981,2.408
16-07-1981,2.411
17-07-1981,2.427
20-07-1981,2.447
21-07-1981,2.47
22-07-1981,2.441
23-07-1981,2.446
24-07-1981,2.438
27-07-1981,2.436
28-07-1981,2.441
29-07-1981,2.458
30-07-1981,2.457
31-07-1981,2.471
03-08-1981,2.527
04-08-1981,2.535
05-08-1981,2.51
06-08-1981,2.522
07-08-1981,2.532
10-08-1981,2.571
11-08-1981,2.559
12-08-1981,2.499
13-08-1981,2.517
14-08-1981,2.527
17-08-1981,2.497
18-08-1981,2.498
19-08-1981,2.498
20-08-1981,2.471
21-08-1981,2.449
24-08-1981,2.474
25-08-1981,2.504
26-08-1981,2.465
27-08-1981,2.476
28-08-1981,2.451
31-08-1981,2.448
01-09-1981,2.456
02-09-1981,2.44
03-09-1981,2.426
04-09-1981,2.411
08-09-1981,2.437
09-09-1981,2.43
10-09-1981,2.399
11-09-1981,2.401
14-09-1981,2.376
15-09-1981,2.338
16-09-1981,2.307
17-09-1981,2.28
18-09-1981,2.27
21-09-1981,2.23
22-09-1981,2.282
23-09-1981,2.3
24-09-1981,2.317
25-09-1981,2.323
28-09-1981,2.34
29-09-1981,2.311
30-09-1981,2.325
01-10-1981,2.323
02-10-1981,2.294
05-10-1981,2.225
06-10-1981,2.253
07-10-1981,2.219
08-10-1981,2.206
09-10-1981,2.191
13-10-1981,2.222
14-10-1981,2.223
15-10-1981,2.23
16-10-1981,2.238
19-10-1981,2.233
20-10-1981,2.237
21-10-1981,2.273
22-10-1981,2.282
23-10-1981,2.275
26-10-1981,2.31
27-10-1981,2.306
28-10-1981,2.291
29-10-1981,2.27
30-10-1981,2.244
02-11-1981,2.223
04-11-1981,2.212
05-11-1981,2.225
06-11-1981,2.222
09-11-1981,2.206
10-11-1981,2.229
12-11-1981,2.212
13-11-1981,2.222
16-11-1981,2.241
17-11-1981,2.252
18-11-1981,2.236
19-11-1981,2.244
20-11-1981,2.259
23-11-1981,2.253
24-11-1981,2.23
25-11-1981,2.232
27-11-1981,2.216
30-11-1981,2.214
01-12-1981,2.224
02-12-1981,2.218
03-12-1981,2.232
04-12-1981,2.227
07-12-1981,2.241
08-12-1981,2.249
09-12-1981,2.241
10-12-1981,2.254
11-12-1981,2.261
14-12-1981,2.283
15-12-1981,2.268
16-12-1981,2.278
17-12-1981,2.277
18-12-1981,2.292
21-12-1981,2.284
22-12-1981,2.273
23-12-1981,2.275
24-12-1981,2.268
28-12-1981,2.27
29-12-1981,2.272
30-12-1981,2.251
31-12-1981,2.238
04-01-1982,2.241
05-01-1982,2.262
06-01-1982,2.246
07-01-1982,2.261
08-01-1982,2.259
11-01-1982,2.284
12-01-1982,2.287
13-01-1982,2.293
14-01-1982,2.306
15-01-1982,2.312
18-01-1982,2.298
19-01-1982,2.295
20-01-1982,2.309
21-01-1982,2.297
22-01-1982,2.309
25-01-1982,2.338
26-01-1982,2.314
27-01-1982,2.323
28-01-1982,2.328
29-01-1982,2.317
01-02-1982,2.35
02-02-1982,2.353
03-02-1982,2.36
04-02-1982,2.342
05-02-1982,2.345
08-02-1982,2.358
09-02-1982,2.375
10-02-1982,2.367
11-02-1982,2.367
16-02-1982,2.396
17-02-1982,2.399
18-02-1982,2.366
19-02-1982,2.365
22-02-1982,2.352
23-02-1982,2.373
24-02-1982,2.367
25-02-1982,2.37
26-02-1982,2.388
01-03-1982,2.388
02-03-1982,2.377
03-03-1982,2.372
04-03-1982,2.365
05-03-1982,2.344
08-03-1982,2.343
09-03-1982,2.368
10-03-1982,2.358
11-03-1982,2.371
12-03-1982,2.38
15-03-1982,2.374
16-03-1982,2.378
17-03-1982,2.373
18-03-1982,2.375
19-03-1982,2.384
22-03-1982,2.391
23-03-1982,2.385
24-03-1982,2.387
25-03-1982,2.394
26-03-1982,2.396
29-03-1982,2.415
30-03-1982,2.408
31-03-1982,2.418
01-04-1982,2.403
02-04-1982,2.398
05-04-1982,2.408
06-04-1982,2.414
07-04-1982,2.414
08-04-1982,2.423
09-04-1982,2.423
12-04-1982,2.42
13-04-1982,2.412
14-04-1982,2.419
15-04-1982,2.425
16-04-1982,2.422
19-04-1982,2.41
20-04-1982,2.399
21-04-1982,2.395
22-04-1982,2.396
23-04-1982,2.388
26-04-1982,2.374
27-04-1982,2.369
28-04-1982,2.356
29-04-1982,2.339
30-04-1982,2.331
03-05-1982,2.339
04-05-1982,2.345
05-05-1982,2.321
06-05-1982,2.31
07-05-1982,2.29
10-05-1982,2.286
11-05-1982,2.282
12-05-1982,2.283
13-05-1982,2.293
14-05-1982,2.307
17-05-1982,2.305
18-05-1982,2.317
19-05-1982,2.319
20-05-1982,2.317
21-05-1982,2.306
24-05-1982,2.301
25-05-1982,2.315
26-05-1982,2.329
27-05-1982,2.346
28-05-1982,2.348
01-06-1982,2.376
02-06-1982,2.369
03-06-1982,2.363
04-06-1982,2.365
07-06-1982,2.382
08-06-1982,2.401
09-06-1982,2.415
10-06-1982,2.413
11-06-1982,2.395
14-06-1982,2.422
15-06-1982,2.42
16-06-1982,2.434
17-06-1982,2.446
18-06-1982,2.461
21-06-1982,2.478
22-06-1982,2.454
23-06-1982,2.477
24-06-1982,2.474
25-06-1982,2.487
28-06-1982,2.493
29-06-1982,2.463
30-06-1982,2.46
01-07-1982,2.47
02-07-1982,2.477
06-07-1982,2.49
07-07-1982,2.511
08-07-1982,2.514
09-07-1982,2.494
12-07-1982,2.478
13-07-1982,2.497
14-07-1982,2.496
15-07-1982,2.493
16-07-1982,2.477
19-07-1982,2.474
20-07-1982,2.451
21-07-1982,2.431
22-07-1982,2.433
23-07-1982,2.396
26-07-1982,2.409
27-07-1982,2.428
28-07-1982,2.45
29-07-1982,2.46
30-07-1982,2.466
02-08-1982,2.434
03-08-1982,2.442
04-08-1982,2.486
05-08-1982,2.486
06-08-1982,2.497
09-08-1982,2.518
10-08-1982,2.516
11-08-1982,2.523
12-08-1982,2.518
13-08-1982,2.51
16-08-1982,2.52
17-08-1982,2.507
18-08-1982,2.48
19-08-1982,2.486
20-08-1982,2.453
23-08-1982,2.455
24-08-1982,2.418
25-08-1982,2.428
26-08-1982,2.439
27-08-1982,2.471
30-08-1982,2.507
31-08-1982,2.497
01-09-1982,2.491
02-09-1982,2.474
03-09-1982,2.476
07-09-1982,2.474
08-09-1982,2.488
09-09-1982,2.481
10-09-1982,2.505
13-09-1982,2.519
14-09-1982,2.513
15-09-1982,2.515
16-09-1982,2.513
17-09-1982,2.501
20-09-1982,2.503
21-09-1982,2.505
22-09-1982,2.497
23-09-1982,2.509
24-09-1982,2.514
27-09-1982,2.541
28-09-1982,2.543
29-09-1982,2.528
30-09-1982,2.529
01-10-1982,2.526
04-10-1982,2.554
05-10-1982,2.552
06-10-1982,2.545
07-10-1982,2.523
08-10-1982,2.527
12-10-1982,2.489
13-10-1982,2.511
14-10-1982,2.517
15-10-1982,2.517
18-10-1982,2.515
19-10-1982,2.516
20-10-1982,2.525
21-10-1982,2.53
22-10-1982,2.529
25-10-1982,2.555
26-10-1982,2.548
27-10-1982,2.543
28-10-1982,2.561
29-10-1982,2.56
01-11-1982,2.553
03-11-1982,2.558
04-11-1982,2.576
05-11-1982,2.579
08-11-1982,2.596
09-11-1982,2.582
10-11-1982,2.577
12-11-1982,2.591
15-11-1982,2.587
16-11-1982,2.572
17-11-1982,2.574
18-11-1982,2.569
19-11-1982,2.543
22-11-1982,2.546
23-11-1982,2.549
24-11-1982,2.527
26-11-1982,2.507
29-11-1982,2.485
30-11-1982,2.465
01-12-1982,2.467
02-12-1982,2.448
03-12-1982,2.426
06-12-1982,2.429
07-12-1982,2.425
08-12-1982,2.434
09-12-1982,2.459
10-12-1982,2.453
13-12-1982,2.478
14-12-1982,2.439
15-12-1982,2.451
16-12-1982,2.417
17-12-1982,2.421
20-12-1982,2.418
21-12-1982,2.407
22-12-1982,2.405
23-12-1982,2.396
24-12-1982,2.39
27-12-1982,2.382
28-12-1982,2.371
29-12-1982,2.373
30-12-1982,2.382
31-12-1982,2.378
03-01-1983,2.374
04-01-1983,2.366
05-01-1983,2.349
06-01-1983,2.35
07-01-1983,2.338
10-01-1983,2.332
11-01-1983,2.345
12-01-1983,2.361
13-01-1983,2.342
14-01-1983,2.355
17-01-1983,2.358
18-01-1983,2.393
19-01-1983,2.414
20-01-1983,2.423
21-01-1983,2.442
24-01-1983,2.465
25-01-1983,2.422
26-01-1983,2.426
27-01-1983,2.427
28-01-1983,2.432
31-01-1983,2.465
01-02-1983,2.464
02-02-1983,2.495
03-02-1983,2.466
04-02-1983,2.476
07-02-1983,2.451
08-02-1983,2.443
09-02-1983,2.431
10-02-1983,2.411
11-02-1983,2.406
14-02-1983,2.413
15-02-1983,2.41
16-02-1983,2.388
17-02-1983,2.397
18-02-1983,2.397
22-02-1983,2.41
23-02-1983,2.418
24-02-1983,2.409
25-02-1983,2.415
28-02-1983,2.434
01-03-1983,2.443
02-03-1983,2.432
03-03-1983,2.425
04-03-1983,2.403
07-03-1983,2.389
08-03-1983,2.406
09-03-1983,2.407
10-03-1983,2.394
11-03-1983,2.399
14-03-1983,2.384
15-03-1983,2.388
16-03-1983,2.381
17-03-1983,2.388
18-03-1983,2.396
21-03-1983,2.417
22-03-1983,2.418
23-03-1983,2.425
24-03-1983,2.422
25-03-1983,2.417
28-03-1983,2.434
29-03-1983,2.431
30-03-1983,2.428
31-03-1983,2.431
01-04-1983,2.427
04-04-1983,2.419
05-04-1983,2.418
06-04-1983,2.413
07-04-1983,2.417
08-04-1983,2.427
11-04-1983,2.423
12-04-1983,2.425
13-04-1983,2.442
14-04-1983,2.443
15-04-1983,2.437
18-04-1983,2.459
19-04-1983,2.45
20-04-1983,2.461
21-04-1983,2.456
22-04-1983,2.447
25-04-1983,2.445
26-04-1983,2.451
27-04-1983,2.449
28-04-1983,2.464
29-04-1983,2.467
02-05-1983,2.462
03-05-1983,2.458
04-05-1983,2.447
05-05-1983,2.444
06-05-1983,2.442
09-05-1983,2.435
10-05-1983,2.444
11-05-1983,2.437
12-05-1983,2.441
13-05-1983,2.443
16-05-1983,2.462
17-05-1983,2.462
18-05-1983,2.465
19-05-1983,2.479
20-05-1983,2.478
23-05-1983,2.485
24-05-1983,2.494
25-05-1983,2.49
26-05-1983,2.495
27-05-1983,2.515
31-05-1983,2.525
01-06-1983,2.548
02-06-1983,2.541
03-06-1983,2.543
06-06-1983,2.565
07-06-1983,2.569
08-06-1983,2.568
09-06-1983,2.565
10-06-1983,2.556
13-06-1983,2.554
14-06-1983,2.565
15-06-1983,2.568
16-06-1983,2.556
17-06-1983,2.559
20-06-1983,2.546
21-06-1983,2.55
22-06-1983,2.522
23-06-1983,2.524
24-06-1983,2.526
27-06-1983,2.533
28-06-1983,2.54
29-06-1983,2.544
30-06-1983,2.541
01-07-1983,2.541
05-07-1983,2.569
06-07-1983,2.568
07-07-1983,2.577
08-07-1983,2.578
11-07-1983,2.586
12-07-1983,2.588
13-07-1983,2.585
14-07-1983,2.578
15-07-1983,2.599
18-07-1983,2.597
19-07-1983,2.592
20-07-1983,2.577
21-07-1983,2.582
22-07-1983,2.592
25-07-1983,2.607
26-07-1983,2.611
27-07-1983,2.625
28-07-1983,2.629
29-07-1983,2.649
01-08-1983,2.679
02-08-1983,2.661
03-08-1983,2.661
04-08-1983,2.67
05-08-1983,2.682
08-08-1983,2.696
09-08-1983,2.69
10-08-1983,2.725
11-08-1983,2.735
12-08-1983,2.724
15-08-1983,2.711
16-08-1983,2.662
17-08-1983,2.641
18-08-1983,2.635
19-08-1983,2.656
22-08-1983,2.635
23-08-1983,2.629
24-08-1983,2.636
25-08-1983,2.64
26-08-1983,2.663
29-08-1983,2.68
30-08-1983,2.688
31-08-1983,2.697
01-09-1983,2.696
02-09-1983,2.696
06-09-1983,2.681
07-09-1983,2.688
08-09-1983,2.677
09-09-1983,2.673
12-09-1983,2.661
13-09-1983,2.68
14-09-1983,2.687
15-09-1983,2.68
16-09-1983,2.667
19-09-1983,2.658
20-09-1983,2.669
21-09-1983,2.667
22-09-1983,2.683
23-09-1983,2.653
26-09-1983,2.646
27-09-1983,2.651
28-09-1983,2.646
29-09-1983,2.641
30-09-1983,2.632
03-10-1983,2.623
04-10-1983,2.628
05-10-1983,2.596
06-10-1983,2.581
07-10-1983,2.567
11-10-1983,2.587
12-10-1983,2.614
13-10-1983,2.605
14-10-1983,2.618
17-10-1983,2.603
18-10-1983,2.584
19-10-1983,2.585
20-10-1983,2.589
21-10-1983,2.583
24-10-1983,2.61
25-10-1983,2.604
26-10-1983,2.618
27-10-1983,2.619
28-10-1983,2.621
31-10-1983,2.632
01-11-1983,2.655
02-11-1983,2.645
03-11-1983,2.659
04-11-1983,2.671
07-11-1983,2.68
09-11-1983,2.668
10-11-1983,2.658
14-11-1983,2.676
15-11-1983,2.678
16-11-1983,2.687
17-11-1983,2.698
18-11-1983,2.705
21-11-1983,2.701
22-11-1983,2.689
23-11-1983,2.703
25-11-1983,2.712
28-11-1983,2.712
29-11-1983,2.715
30-11-1983,2.699
01-12-1983,2.702
02-12-1983,2.712
05-12-1983,2.744
06-12-1983,2.735
07-12-1983,2.736
08-12-1983,2.735
09-12-1983,2.752
12-12-1983,2.753
13-12-1983,2.771
14-12-1983,2.767
15-12-1983,2.772
16-12-1983,2.777
19-12-1983,2.772
20-12-1983,2.768
21-12-1983,2.769
22-12-1983,2.769
23-12-1983,2.759
27-12-1983,2.756
28-12-1983,2.752
29-12-1983,2.729
30-12-1983,2.725
03-01-1984,2.761
04-01-1984,2.788
05-01-1984,2.798
06-01-1984,2.811
09-01-1984,2.829
10-01-1984,2.814
11-01-1984,2.84
12-01-1984,2.84
13-01-1984,2.808
16-01-1984,2.798
17-01-1984,2.809
18-01-1984,2.803
19-01-1984,2.793
20-01-1984,2.821
23-01-1984,2.812
24-01-1984,2.826
25-01-1984,2.823
26-01-1984,2.811
27-01-1984,2.821
30-01-1984,2.812
31-01-1984,2.817
01-02-1984,2.792
02-02-1984,2.76
03-02-1984,2.736
06-02-1984,2.743
07-02-1984,2.766
08-02-1984,2.754
09-02-1984,2.738
10-02-1984,2.742
14-02-1984,2.722
15-02-1984,2.667
16-02-1984,2.674
17-02-1984,2.683
21-02-1984,2.708
22-02-1984,2.663
23-02-1984,2.662
24-02-1984,2.625
27-02-1984,2.636
28-02-1984,2.604
29-02-1984,2.598
01-03-1984,2.611
02-03-1984,2.586
05-03-1984,2.58
06-03-1984,2.552
07-03-1984,2.555
08-03-1984,2.588
09-03-1984,2.582
12-03-1984,2.603
13-03-1984,2.572
14-03-1984,2.566
15-03-1984,2.584
16-03-1984,2.628
19-03-1984,2.629
20-03-1984,2.637
21-03-1984,2.647
22-03-1984,2.636
23-03-1984,2.629
26-03-1984,2.6
27-03-1984,2.589
28-03-1984,2.592
29-03-1984,2.586
30-03-1984,2.594
02-04-1984,2.598
03-04-1984,2.623
04-04-1984,2.622
05-04-1984,2.631
06-04-1984,2.623
09-04-1984,2.631
10-04-1984,2.619
11-04-1984,2.61
12-04-1984,2.618
13-04-1984,2.626
16-04-1984,2.635
17-04-1984,2.642
18-04-1984,2.646
19-04-1984,2.66
20-04-1984,2.666
23-04-1984,2.662
24-04-1984,2.683
25-04-1984,2.681
26-04-1984,2.697
27-04-1984,2.705
30-04-1984,2.722
01-05-1984,2.729
02-05-1984,2.727
03-05-1984,2.705
04-05-1984,2.724
07-05-1984,2.773
08-05-1984,2.782
09-05-1984,2.768
10-05-1984,2.779
11-05-1984,2.774
14-05-1984,2.756
15-05-1984,2.743
16-05-1984,2.746
17-05-1984,2.76
18-05-1984,2.777
21-05-1984,2.756
22-05-1984,2.742
23-05-1984,2.759
24-05-1984,2.743
25-05-1984,2.728
29-05-1984,2.732
30-05-1984,2.736
31-05-1984,2.732
01-06-1984,2.685
04-06-1984,2.666
05-06-1984,2.686
06-06-1984,2.678
07-06-1984,2.695
08-06-1984,2.698
11-06-1984,2.715
12-06-1984,2.725
13-06-1984,2.716
14-06-1984,2.721
15-06-1984,2.741
18-06-1984,2.756
19-06-1984,2.759
20-06-1984,2.779
21-06-1984,2.783
22-06-1984,2.783
25-06-1984,2.804
26-06-1984,2.787
27-06-1984,2.797
28-06-1984,2.784
29-06-1984,2.782
02-07-1984,2.792
03-07-1984,2.821
05-07-1984,2.829
06-07-1984,2.839
09-07-1984,2.841
10-07-1984,2.824
11-07-1984,2.841
12-07-1984,2.849
13-07-1984,2.832
16-07-1984,2.822
17-07-1984,2.849
18-07-1984,2.863
19-07-1984,2.845
20-07-1984,2.86
23-07-1984,2.877
24-07-1984,2.868
25-07-1984,2.852
26-07-1984,2.847
27-07-1984,2.886
30-07-1984,2.894
31-07-1984,2.906
01-08-1984,2.918
02-08-1984,2.898
03-08-1984,2.861
06-08-1984,2.886
07-08-1984,2.915
08-08-1984,2.906
09-08-1984,2.9
10-08-1984,2.898
13-08-1984,2.915
14-08-1984,2.888
15-08-1984,2.879
16-08-1984,2.857
17-08-1984,2.861
20-08-1984,2.87
21-08-1984,2.885
22-08-1984,2.88
23-08-1984,2.865
24-08-1984,2.874
27-08-1984,2.884
28-08-1984,2.88
29-08-1984,2.877
30-08-1984,2.887
31-08-1984,2.89
04-09-1984,2.93
05-09-1984,2.954
06-09-1984,2.948
07-09-1984,2.987
10-09-1984,2.992
11-09-1984,3.008
12-09-1984,2.998
13-09-1984,3.04
14-09-1984,3.034
17-09-1984,3.073
18-09-1984,3.094
19-09-1984,3.096
20-09-1984,3.128
21-09-1984,3.065
24-09-1984,3.027
25-09-1984,3.075
26-09-1984,3.042
27-09-1984,3.035
28-09-1984,3.072
01-10-1984,3.062
02-10-1984,3.042
03-10-1984,3.016
04-10-1984,3.028
05-10-1984,3.05
09-10-1984,3.088
10-10-1984,3.078
11-10-1984,3.096
12-10-1984,3.119
15-10-1984,3.135
16-10-1984,3.14
17-10-1984,3.121
18-10-1984,3.119
19-10-1984,3.072
22-10-1984,3.074
23-10-1984,3.041
24-10-1984,3.023
25-10-1984,3.011
26-10-1984,3.032
29-10-1984,3.072
30-10-1984,3.045
31-10-1984,3.031
01-11-1984,2.989
02-11-1984,2.948
05-11-1984,2.93
07-11-1984,2.939
08-11-1984,2.94
09-11-1984,2.948
13-11-1984,2.943
14-11-1984,2.973
15-11-1984,2.962
16-11-1984,2.973
19-11-1984,2.995
20-11-1984,3.009
21-11-1984,3.019
23-11-1984,3.031
26-11-1984,3.062
27-11-1984,3.055
28-11-1984,3.072
29-11-1984,3.079
30-11-1984,3.11
03-12-1984,3.115
04-12-1984,3.06
05-12-1984,3.079
06-12-1984,3.062
07-12-1984,3.087
10-12-1984,3.093
11-12-1984,3.087
12-12-1984,3.087
13-12-1984,3.105
14-12-1984,3.091
17-12-1984,3.09
18-12-1984,3.087
19-12-1984,3.1
20-12-1984,3.13
21-12-1984,3.116
24-12-1984,3.124
26-12-1984,3.126
27-12-1984,3.152
28-12-1984,3.144
31-12-1984,3.155
02-01-1985,3.173
03-01-1985,3.163
04-01-1985,3.168
07-01-1985,3.178
08-01-1985,3.155
09-01-1985,3.163
10-01-1985,3.141
11-01-1985,3.155
14-01-1985,3.193
15-01-1985,3.186
16-01-1985,3.19
